Game Name,i,j,Engine Conditions,Simple Engine Conditions,Engine UTN Error,Simple Engine UTN Error
Bird1,31,28,150,81,116,116
Bird1,31,29,150,81,123,123
Bird1,31,30,150,81,130,130
Bird1,32,1,150,81,0,0
Bird1,32,2,150,81,0,0
Bird1,32,3,150,81,0,0
Bird1,32,4,150,81,0,0
Bird1,32,5,150,81,5,5
Bird1,32,6,150,81,8,8
Bird1,32,7,150,81,13,13
Bird1,32,8,150,81,18,18
Bird1,32,9,150,81,23,23
Bird1,32,10,150,81,26,26
Bird1,32,11,150,81,29,29
Bird1,32,12,150,81,34,34
Bird1,32,13,150,81,37,37
Bird1,32,14,150,81,42,42
Bird1,32,15,150,81,47,47
Bird1,32,16,150,81,52,52
Bird1,32,17,150,81,57,57
Bird1,32,18,150,81,62,62
Bird1,32,19,150,81,65,65
Bird1,32,20,150,81,68,68
Bird1,32,21,150,81,75,75
Bird1,32,22,150,81,80,80
Bird1,32,23,150,81,85,85
Bird1,32,24,150,81,90,90
Bird1,32,25,150,81,95,95
Bird1,32,26,150,81,102,102
Bird1,32,27,150,81,109,109
Bird1,32,28,150,81,116,116
Bird1,32,29,150,81,123,123
Bird1,32,30,150,81,130,130
Bird1,32,31,150,81,137,137
Bird1,33,1,150,81,0,0
Bird1,33,2,150,81,0,0
Bird1,33,3,150,81,0,0
Bird1,33,4,150,81,0,0
Bird1,33,5,150,81,5,5
Bird1,33,6,150,81,8,8
Bird1,33,7,150,81,13,13
Bird1,33,8,150,81,18,18
Bird1,33,9,150,81,23,23
Bird1,33,10,150,81,26,26
Bird1,33,11,150,81,29,29
Bird1,33,12,150,81,34,34
Bird1,33,13,150,81,37,37
Bird1,33,14,150,81,42,42
Bird1,33,15,150,81,47,47
Bird1,33,16,150,81,52,52
Bird1,33,17,150,81,57,57
Bird1,33,18,150,81,62,62
Bird1,33,19,150,81,65,65
Bird1,33,20,150,81,68,68
Bird1,33,21,150,81,75,75
Bird1,33,22,150,81,80,80
Bird1,33,23,150,81,85,85
Bird1,33,24,150,81,90,90
Bird1,33,25,150,81,95,95
Bird1,33,26,150,81,102,102
Bird1,33,27,150,81,109,109
Bird1,33,28,150,81,116,116
Bird1,33,29,150,81,123,123
Bird1,33,30,150,81,130,130
Bird1,33,31,150,81,137,137
Bird1,33,32,150,81,142,142
Bird1,34,1,150,81,0,0
Bird1,34,2,150,81,0,0
Bird1,34,3,150,81,0,0
Bird1,34,4,150,81,0,0
Bird1,34,5,150,81,5,5
Bird1,34,6,150,81,8,8
Bird1,34,7,150,81,13,13
Bird1,34,8,150,81,18,18
Bird1,34,9,150,81,23,23
Bird1,34,10,150,81,26,26
Bird1,34,11,150,81,29,29
Bird1,34,12,150,81,34,34
Bird1,34,13,150,81,37,37
Bird1,34,14,150,81,42,42
Bird1,34,15,150,81,47,47
Bird1,34,16,150,81,52,52
Bird1,34,17,150,81,57,57
Bird1,34,18,150,81,62,62
Bird1,34,19,150,81,65,65
Bird1,34,20,150,81,68,68
Bird1,34,21,150,81,75,75
Bird1,34,22,150,81,80,80
Bird1,34,23,150,81,85,85
Bird1,34,24,150,81,90,90
Bird1,34,25,150,81,95,95
Bird1,34,26,150,81,102,102
Bird1,34,27,150,81,109,109
Bird1,34,28,150,81,116,116
Bird1,34,29,150,81,123,123
Bird1,34,30,150,81,130,130
Bird1,34,31,150,81,137,137
Bird1,34,32,150,81,142,142
Bird1,34,33,150,81,147,147
Bird1,35,1,150,81,0,0
Bird1,35,2,150,81,0,0
Bird1,35,3,150,81,0,0
Bird1,35,4,150,81,0,0
Bird1,35,5,150,81,5,5
Bird1,35,6,150,81,8,8
Bird1,35,7,150,81,13,13
Bird1,35,8,150,81,18,18
Bird1,35,9,150,81,23,23
Bird1,35,10,150,81,26,26
Bird1,35,11,150,81,29,29
Bird1,35,12,150,81,34,34
Bird1,35,13,150,81,37,37
Bird1,35,14,150,81,42,42
Bird1,35,15,150,81,47,47
Bird1,35,16,150,81,52,52
Bird1,35,17,150,81,57,57
Bird1,35,18,150,81,62,62
Bird1,35,19,150,81,65,65
Bird1,35,20,150,81,68,68
Bird1,35,21,150,81,75,75
Bird1,35,22,150,81,80,80
Bird1,35,23,150,81,85,85
Bird1,35,24,150,81,90,90
Bird1,35,25,150,81,95,95
Bird1,35,26,150,81,102,102
Bird1,35,27,150,81,109,109
Bird1,35,28,150,81,116,116
Bird1,35,29,150,81,123,123
Bird1,35,30,150,81,130,130
Bird1,35,31,150,81,137,137
Bird1,35,32,150,81,142,142
Bird1,35,33,150,81,147,147
Bird1,35,34,150,81,152,152
Bird1,36,1,150,81,0,0
Bird1,36,2,150,81,0,0
Bird1,36,3,150,81,0,0
Bird1,36,4,150,81,0,0
Bird1,36,5,150,81,5,5
Bird1,36,6,150,81,8,8
Bird1,36,7,150,81,13,13
